# lambda tau_non_endemic P_end N gamma nruns M
    0.008000   9.99999314E-01     0.000000 10000   3.50 5000 31080
    0.009000   1.01651526E+00     0.000000 10000   3.50 5000 31080
    0.010000   1.03893435E+00     0.000000 10000   3.50 5000 31080
    0.011000   1.02946925E+00     0.000000 10000   3.50 5000 31080
    0.012000   1.01285122E+00     0.000000 10000   3.50 5000 31080
    0.013000   1.03238758E+00     0.000000 10000   3.50 5000 31080
    0.014000   1.01733670E+00     0.000000 10000   3.50 5000 31080
    0.015000   1.02275076E+00     0.000000 10000   3.50 5000 31080
    0.016000   1.04493591E+00     0.000000 10000   3.50 5000 31080
    0.017000   1.03639790E+00     0.000000 10000   3.50 5000 31080
    0.018000   1.00723689E+00     0.000000 10000   3.50 5000 31080
    0.019000   1.02005341E+00     0.000000 10000   3.50 5000 31080
    0.020000   1.06326441E+00     0.000000 10000   3.50 5000 31080
    0.021000   1.03400875E+00     0.000000 10000   3.50 5000 31080
    0.022000   1.06151376E+00     0.000000 10000   3.50 5000 31080
    0.023000   1.07415227E+00     0.000000 10000   3.50 5000 31080
    0.024000   1.07414457E+00     0.000000 10000   3.50 5000 31080
    0.025000   1.04844633E+00     0.000000 10000   3.50 5000 31080
    0.026000   1.05280112E+00     0.000000 10000   3.50 5000 31080
    0.027000   1.05674892E+00     0.000000 10000   3.50 5000 31080
    0.028000   1.05091254E+00     0.000000 10000   3.50 5000 31080
    0.029000   1.07309072E+00     0.000000 10000   3.50 5000 31080
    0.030000   1.10022593E+00     0.000000 10000   3.50 5000 31080
    0.031000   1.05902669E+00     0.000000 10000   3.50 5000 31080
    0.032000   1.06557330E+00     0.000000 10000   3.50 5000 31080
    0.033000   1.08376179E+00     0.000000 10000   3.50 5000 31080
    0.034000   1.07809007E+00     0.000000 10000   3.50 5000 31080
    0.035000   1.10692626E+00     0.000000 10000   3.50 5000 31080
    0.036000   1.11771107E+00     0.000000 10000   3.50 5000 31080
    0.037000   1.08254353E+00     0.000000 10000   3.50 5000 31080
    0.038000   1.09859465E+00     0.000000 10000   3.50 5000 31080
    0.039000   1.12061583E+00     0.000000 10000   3.50 5000 31080
    0.040000   1.07991184E+00     0.000000 10000   3.50 5000 31080
    0.041000   1.12324952E+00     0.000000 10000   3.50 5000 31080
    0.042000   1.11220379E+00     0.000000 10000   3.50 5000 31080
    0.043000   1.12936112E+00     0.000000 10000   3.50 5000 31080
    0.044000   1.11389472E+00     0.000000 10000   3.50 5000 31080
    0.045000   1.16011909E+00     0.000000 10000   3.50 5000 31080
    0.046000   1.12903256E+00     0.000000 10000   3.50 5000 31080
    0.047000   1.14899991E+00     0.000000 10000   3.50 5000 31080
    0.048000   1.13145998E+00     0.000000 10000   3.50 5000 31080
    0.049000   1.13794495E+00     0.000000 10000   3.50 5000 31080
    0.050000   1.14696816E+00     0.000000 10000   3.50 5000 31080
    0.051000   1.15561649E+00     0.000000 10000   3.50 5000 31080
    0.052000   1.18789721E+00     0.000000 10000   3.50 5000 31080
    0.053000   1.18459457E+00     0.000000 10000   3.50 5000 31080
    0.054000   1.15945703E+00     0.000000 10000   3.50 5000 31080
    0.055000   1.18798625E+00     0.000000 10000   3.50 5000 31080
