# lambda tau_non_endemic P_end N gamma nruns M
    0.060000   1.18137195E+00     0.000000 300000   3.50 5000 930768
    0.061000   1.24455741E+00     0.000000 300000   3.50 5000 930768
    0.062000   1.24731157E+00     0.000000 300000   3.50 5000 930768
    0.063000   1.22332095E+00     0.000000 300000   3.50 5000 930768
    0.064000   1.21257187E+00     0.000000 300000   3.50 5000 930768
    0.065000   1.21161958E+00     0.000000 300000   3.50 5000 930768
    0.066000   1.24856350E+00     0.000000 300000   3.50 5000 930768
    0.067000   1.25444881E+00     0.000000 300000   3.50 5000 930768
    0.068000   1.25926419E+00     0.000000 300000   3.50 5000 930768
    0.069000   1.27973949E+00     0.000000 300000   3.50 5000 930768
    0.070000   1.26057268E+00     0.000000 300000   3.50 5000 930768
    0.071000   1.25637713E+00     0.000000 300000   3.50 5000 930768
    0.072000   1.34465200E+00     0.000000 300000   3.50 5000 930768
    0.073000   1.39312867E+00     0.000000 300000   3.50 5000 930768
    0.074000   1.39966722E+00     0.000000 300000   3.50 5000 930768
    0.075000   1.38379453E+00     0.000000 300000   3.50 5000 930768
    0.076000   1.36641518E+00     0.000000 300000   3.50 5000 930768
    0.077000   1.30302217E+00     0.000000 300000   3.50 5000 930768
    0.078000   1.39791721E+00     0.000000 300000   3.50 5000 930768
    0.079000   1.40899905E+00     0.000200 300000   3.50 5000 930768
    0.080000   1.63760727E+00     0.000000 300000   3.50 5000 930768
    0.081000   1.41153799E+00     0.001200 300000   3.50 5000 930768
    0.082000   1.36236169E+00     0.000800 300000   3.50 5000 930768
    0.083000   1.36480161E+00     0.002600 300000   3.50 5000 930768
    0.084000   1.35653671E+00     0.002200 300000   3.50 5000 930768
    0.085000   1.37205068E+00     0.001200 300000   3.50 5000 930768
    0.086000   1.38814830E+00     0.002000 300000   3.50 5000 930768
    0.087000   1.37754576E+00     0.003400 300000   3.50 5000 930768
    0.088000   1.33600444E+00     0.003200 300000   3.50 5000 930768
    0.089000   1.33789473E+00     0.002600 300000   3.50 5000 930768
    0.090000   1.41282219E+00     0.003800 300000   3.50 5000 930768
    0.091000   1.35954001E+00     0.004600 300000   3.50 5000 930768
    0.092000   1.41247938E+00     0.003400 300000   3.50 5000 930768
    0.093000   1.41623580E+00     0.004200 300000   3.50 5000 930768
    0.094000   1.41602519E+00     0.003600 300000   3.50 5000 930768
    0.095000   1.51583153E+00     0.005200 300000   3.50 5000 930768
    0.096000   1.41186668E+00     0.005000 300000   3.50 5000 930768
    0.097000   1.46009799E+00     0.004800 300000   3.50 5000 930768
    0.098000   1.43237196E+00     0.007600 300000   3.50 5000 930768
    0.099000   1.46103115E+00     0.006400 300000   3.50 5000 930768
    0.100000   1.42254508E+00     0.008000 300000   3.50 5000 930768
    0.101000   1.44980036E+00     0.006000 300000   3.50 5000 930768
    0.102000   1.44609067E+00     0.010200 300000   3.50 5000 930768
    0.103000   1.46410289E+00     0.010400 300000   3.50 5000 930768
    0.104000   1.44661103E+00     0.010400 300000   3.50 5000 930768
    0.105000   1.47219167E+00     0.010200 300000   3.50 5000 930768
    0.106000   1.51099444E+00     0.012600 300000   3.50 5000 930768
    0.107000   1.46011215E+00     0.010600 300000   3.50 5000 930768
    0.108000   1.49201747E+00     0.015600 300000   3.50 5000 930768
    0.109000   1.49328325E+00     0.013000 300000   3.50 5000 930768
    0.110000   1.52208968E+00     0.016800 300000   3.50 5000 930768
    0.111000   1.51272617E+00     0.019000 300000   3.50 5000 930768
    0.112000   1.48675820E+00     0.018200 300000   3.50 5000 930768
    0.113000   1.46950324E+00     0.016400 300000   3.50 5000 930768
    0.114000   1.49842877E+00     0.020000 300000   3.50 5000 930768
    0.115000   1.40776973E+00     0.018000 300000   3.50 5000 930768
    0.116000   1.43737680E+00     0.021800 300000   3.50 5000 930768
    0.117000   1.46403343E+00     0.021800 300000   3.50 5000 930768
    0.118000   1.48451209E+00     0.022800 300000   3.50 5000 930768
    0.119000   1.44320354E+00     0.026800 300000   3.50 5000 930768
    0.120000   1.42219347E+00     0.025600 300000   3.50 5000 930768
    0.121000   1.51046358E+00     0.022200 300000   3.50 5000 930768
    0.122000   1.47590257E+00     0.026600 300000   3.50 5000 930768
    0.123000   1.42639191E+00     0.031000 300000   3.50 5000 930768
    0.124000   1.48779006E+00     0.031000 300000   3.50 5000 930768
    0.125000   1.44162006E+00     0.036600 300000   3.50 5000 930768
    0.126000   1.48959805E+00     0.034000 300000   3.50 5000 930768
    0.127000   1.46207367E+00     0.034400 300000   3.50 5000 930768
    0.128000   1.42389845E+00     0.036800 300000   3.50 5000 930768
    0.129000   1.44007244E+00     0.037200 300000   3.50 5000 930768
    0.130000   1.47881906E+00     0.040600 300000   3.50 5000 930768
