# lambda tau_non_endemic P_end N gamma nruns M
    0.060000   1.21558683E+00     0.000000 100000   3.50 10000 309692
    0.061000   1.18309161E+00     0.000000 100000   3.50 10000 309692
    0.062000   1.22054025E+00     0.000000 100000   3.50 10000 309692
    0.063000   1.20158196E+00     0.000000 100000   3.50 10000 309692
    0.064000   1.20621416E+00     0.000000 100000   3.50 10000 309692
    0.065000   1.24436993E+00     0.000000 100000   3.50 10000 309692
    0.066000   1.22181641E+00     0.000000 100000   3.50 10000 309692
    0.067000   1.21499631E+00     0.000000 100000   3.50 10000 309692
    0.068000   1.24816260E+00     0.000000 100000   3.50 10000 309692
    0.069000   1.24317832E+00     0.000000 100000   3.50 10000 309692
    0.070000   1.26979860E+00     0.000000 100000   3.50 10000 309692
    0.071000   1.26882652E+00     0.000000 100000   3.50 10000 309692
    0.072000   1.28060831E+00     0.000000 100000   3.50 10000 309692
    0.073000   1.29468419E+00     0.000000 100000   3.50 10000 309692
    0.074000   1.28792170E+00     0.000000 100000   3.50 10000 309692
    0.075000   1.29201632E+00     0.000000 100000   3.50 10000 309692
    0.076000   1.30401230E+00     0.000000 100000   3.50 10000 309692
    0.077000   1.31313341E+00     0.000000 100000   3.50 10000 309692
    0.078000   1.32549571E+00     0.000000 100000   3.50 10000 309692
    0.079000   1.36421368E+00     0.000000 100000   3.50 10000 309692
    0.080000   1.34450568E+00     0.000000 100000   3.50 10000 309692
    0.081000   1.34543537E+00     0.000000 100000   3.50 10000 309692
    0.082000   1.33380175E+00     0.000000 100000   3.50 10000 309692
    0.083000   1.35512092E+00     0.000000 100000   3.50 10000 309692
    0.084000   1.40287826E+00     0.000000 100000   3.50 10000 309692
    0.085000   1.40964581E+00     0.000000 100000   3.50 10000 309692
    0.086000   1.38162735E+00     0.000000 100000   3.50 10000 309692
    0.087000   1.39829517E+00     0.000000 100000   3.50 10000 309692
    0.088000   1.46641760E+00     0.000000 100000   3.50 10000 309692
    0.089000   1.49926312E+00     0.000000 100000   3.50 10000 309692
    0.090000   1.47775311E+00     0.000000 100000   3.50 10000 309692
    0.091000   1.56171527E+00     0.000000 100000   3.50 10000 309692
    0.092000   1.59503448E+00     0.000000 100000   3.50 10000 309692
    0.093000   1.72287764E+00     0.000000 100000   3.50 10000 309692
    0.094000   1.78432362E+00     0.000200 100000   3.50 10000 309692
    0.095000   1.81737318E+00     0.000500 100000   3.50 10000 309692
    0.096000   1.63438208E+00     0.000800 100000   3.50 10000 309692
    0.097000   1.70363002E+00     0.002400 100000   3.50 10000 309692
    0.098000   1.63198875E+00     0.003200 100000   3.50 10000 309692
    0.099000   1.53410296E+00     0.005500 100000   3.50 10000 309692
    0.100000   1.55964476E+00     0.003800 100000   3.50 10000 309692
    0.101000   1.51969810E+00     0.006300 100000   3.50 10000 309692
    0.102000   1.49352872E+00     0.006200 100000   3.50 10000 309692
    0.103000   1.49617146E+00     0.007500 100000   3.50 10000 309692
    0.104000   1.52036989E+00     0.007600 100000   3.50 10000 309692
    0.105000   1.53319313E+00     0.009300 100000   3.50 10000 309692
    0.106000   1.51733926E+00     0.009900 100000   3.50 10000 309692
    0.107000   1.52738822E+00     0.009700 100000   3.50 10000 309692
    0.108000   1.54576334E+00     0.012200 100000   3.50 10000 309692
    0.109000   1.49938563E+00     0.012000 100000   3.50 10000 309692
    0.110000   1.51410135E+00     0.013300 100000   3.50 10000 309692
    0.111000   1.50800048E+00     0.015100 100000   3.50 10000 309692
    0.112000   1.49550787E+00     0.017900 100000   3.50 10000 309692
    0.113000   1.47980511E+00     0.016700 100000   3.50 10000 309692
    0.114000   1.50986595E+00     0.018200 100000   3.50 10000 309692
    0.115000   1.52798545E+00     0.020700 100000   3.50 10000 309692
