# lambda tau_non_endemic P_end N gamma nruns M
    0.050000   1.13996179E+00     0.000000 10000   3.50 5000 30855
    0.053846   1.14741999E+00     0.000000 10000   3.50 5000 30855
    0.057692   1.15445242E+00     0.000000 10000   3.50 5000 30855
    0.061538   1.19409106E+00     0.000000 10000   3.50 5000 30855
    0.065385   1.22904655E+00     0.000000 10000   3.50 5000 30855
    0.069231   1.19779235E+00     0.000000 10000   3.50 5000 30855
    0.073077   1.28418746E+00     0.000000 10000   3.50 5000 30855
    0.076923   1.28356061E+00     0.000000 10000   3.50 5000 30855
    0.080769   1.28541637E+00     0.000000 10000   3.50 5000 30855
    0.084615   1.35546288E+00     0.000000 10000   3.50 5000 30855
    0.088462   1.42016321E+00     0.000000 10000   3.50 5000 30855
    0.092308   1.47383183E+00     0.000000 10000   3.50 5000 30855
    0.096154   1.54935039E+00     0.000000 10000   3.50 5000 30855
    0.100000   1.55569908E+00     0.000000 10000   3.50 5000 30855
    0.103846   1.72065901E+00     0.000000 10000   3.50 5000 30855
    0.107692   1.87778407E+00     0.000400 10000   3.50 5000 30855
    0.111538   1.95920962E+00     0.002400 10000   3.50 5000 30855
    0.115385   1.82307055E+00     0.006800 10000   3.50 5000 30855
    0.119231   1.72472848E+00     0.014400 10000   3.50 5000 30855
    0.123077   1.59569423E+00     0.018200 10000   3.50 5000 30855
    0.126923   1.63439921E+00     0.023400 10000   3.50 5000 30855
    0.130769   1.48663118E+00     0.024600 10000   3.50 5000 30855
    0.134615   1.58350016E+00     0.042800 10000   3.50 5000 30855
    0.138462   1.49045373E+00     0.035200 10000   3.50 5000 30855
    0.142308   1.51274222E+00     0.049800 10000   3.50 5000 30855
    0.146154   1.53262339E+00     0.058200 10000   3.50 5000 30855
    0.150000   1.44045094E+00     0.057600 10000   3.50 5000 30855
    0.153846   1.44867591E+00     0.067200 10000   3.50 5000 30855
    0.157692   1.44157170E+00     0.077400 10000   3.50 5000 30855
    0.161538   1.42262307E+00     0.077200 10000   3.50 5000 30855
    0.165385   1.37721365E+00     0.092800 10000   3.50 5000 30855
    0.169231   1.31922643E+00     0.108600 10000   3.50 5000 30855
    0.173077   1.34259856E+00     0.106200 10000   3.50 5000 30855
    0.176923   1.32823739E+00     0.118800 10000   3.50 5000 30855
    0.180769   1.29406985E+00     0.124000 10000   3.50 5000 30855
    0.184615   1.32521278E+00     0.136400 10000   3.50 5000 30855
    0.188462   1.24337335E+00     0.134600 10000   3.50 5000 30855
    0.192308   1.27222827E+00     0.149800 10000   3.50 5000 30855
    0.196154   1.27512325E+00     0.160400 10000   3.50 5000 30855
    0.200000   1.20191139E+00     0.160600 10000   3.50 5000 30855
