gamma,N,lambda_c,lambda_eval,P_end_lc,eval_mode
2.5,10000,0.005369148016900171,0.005369148016900171,0.0,interp
2.5,30000,0.005369148016900171,0.005369148016900171,0.0,interp
2.5,50000,0.005369148016900171,0.005369148016900171,0.0,interp
2.5,100000,0.005369148016900171,0.005369148016900171,0.0,interp
2.5,300000,0.005369148016900171,0.005369148016900171,0.0,interp
2.5,500000,0.005369148016900171,0.005369148016900171,0.0,interp
2.5,1000000,0.005369148016900171,0.005369148016900171,0.0004429776202802056,interp
