gamma,n_sizes,lambda_c,A_lambdap,inv_nu,lambdap_fit_r2,n_fit,n_outliers_removed,gamma1_over_nu,tau_peak_amp,tau_peak_fit_r2,tau_peak_n_fit,tau_peak_n_removed,beta_over_nu,pend_amp,pend_fit_r2,pend_n_fit,beta_nu_reason,lp_min,step5_overlap_first_pos,step5_overlap_0p005,step5_overlap_0p01,max_lambda_first_pend_pos,max_lambda_pend_0p005,max_lambda_pend_0p01,beta_nu_feasible
2.5,6,0.0,0.39587116241379366,0.31716406860139995,0.9479549902081357,6,0,-0.038814186790875435,1.854384204750215,0.8843067995770778,6,0,,,,0,"lambda_c=0: P_end(0,N)=0 identically. beta/nu not extractable by construction.",0.005369153386053557,0,0,0,0.018,0.019458333333333334,0.023416666666666665,False
3.5,7,0.06198093369897426,10320.48594908384,1.2805440872696003,0.3366951428202113,5,2,0.008868964132621232,1.5031471723093417,0.45071341992142777,6,1,,,,0,"P_end(lambda_c,N)=0 for all 7 interpolated sizes: lambda_c lies below the onset of endemic probability in the simulated lambda range. The Fortran scan did not cover lambda values between 0 and the P_end onset.",0.061990933698974265,0,0,0,0.101,0.10525,0.1098421052631579,False
