gamma,N,lambda_p_tau,lambda_c_global,lambda_first_pend_pos,lambda_pend_0p005,lambda_pend_0p01,P_end_at_lambda_c
3.5,10000,0.07610892628712133,0.041985374715377916,0.074,0.08053333333333333,0.0858,0.0
3.5,30000,0.10200205166616697,0.041985374715377916,0.101,0.10525,0.1098421052631579,0.0
3.5,50000,0.09061746933238311,0.041985374715377916,0.09,0.09638888888888889,0.10523529411764705,0.0
3.5,100000,0.08476255470539477,0.041985374715377916,0.083,0.092,0.1012,0.0
3.5,300000,0.0797761206545529,0.041985374715377916,0.08,0.08966666666666666,0.09988235294117648,0.0
3.5,500000,0.061990933698974265,0.041985374715377916,0.063,0.0855,0.09827777777777778,0.0
3.5,1000000,0.0770080149053488,0.041985374715377916,0.077,0.09285714285714286,0.10363636363636364,0.0
