gamma,N,lambda_p,tau_peak,lambda_argmax,tau_argmax,peak_refined
3.5,10000,0.07610892628712133,1.601919487770374,0.076,1.60114283,1
3.5,30000,0.10200205166616697,2.0942677348109555,0.102,2.094267,1
3.5,50000,0.09061746933238311,1.706869179011818,0.091,1.70273261,1
3.5,100000,0.08476255470539477,1.6587378678731284,0.085,1.65083813,1
3.5,300000,0.0797761206545529,1.6813853276187274,0.08,1.67123452,1
3.5,500000,0.061990933698974265,1.6835191117129398,0.062,1.68349031,1
3.5,1000000,0.0770080149053488,1.6878538992236827,0.077,1.68783041,1
