gamma,N,lambda_p,tau_peak,lambda_argmax,tau_argmax,peak_refined
2.5,10000,0.01890698131588111,1.2870297292171813,0.019,1.28427883,1
2.5,30000,0.016047012546568845,1.2135470244122502,0.016,1.21304583,1
2.5,50000,0.013072761046332534,1.2529668251218027,0.013,1.25061418,1
2.5,100000,0.011813022163406213,1.2120013712068598,0.012,1.19581869,1
2.5,300000,0.007502655896080382,1.1329230418923402,0.0075,1.13292027,1
2.5,500000,0.005369153386053557,1.0980672521193249,0.0055,1.09438988,1
2.5,1000000,0.023049229574501152,1.057510931390954,0.024042,1.05479735,1
