gamma,N,lambda_p_tau,lambda_c_global,lambda_first_pend_pos,lambda_pend_0p005,lambda_pend_0p01,P_end_at_lambda_c
2.5,10000,0.01890698131588111,0.0,0.018,0.019458333333333334,0.02047222222222222,
2.5,30000,0.016047012546568845,0.0,0.016,0.018916666666666665,0.023416666666666665,
2.5,50000,0.013072761046332534,0.0,0.0135,0.015555555555555555,0.018921052631578946,
2.5,100000,0.011813022163406213,0.0,0.0115,0.0151,0.02038888888888889,
2.5,300000,0.007502655896080382,0.0,0.008,0.013099999999999999,0.018916666666666665,
2.5,500000,0.005369153386053557,0.0,0.006,0.011261904761904761,0.01965266666666667,
