lambda,tau,P_end,gamma,N,nruns,M,source_priority,is_window,variant,source
0.055,1.14400873,0.0,3.5,500000,5000,1552043,3,True,_lc_window,part2_N500000_g3.5_lc_window.dat
0.056,1.25663358,0.0,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.057,1.21704332,0.0,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.058,1.586919,0.0,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.059,1.19162869,0.0,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.06,1.27200534,0.0,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.061,1.33944878,0.0,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.062,1.68349031,0.0,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.063,1.32674163,0.0006,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.064,1.19687685,0.0006,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.065,1.23143771,0.0004,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.066,1.26208299,0.0004,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.067,1.23619546,0.0012,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.068,1.27675209,0.0008,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.069,1.24279269,0.001,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.07,1.23502162,0.0004,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.071,1.29612596,0.0008,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.072,1.23344747,0.0008,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.073,1.27380003,0.0016,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.074,1.27017032,0.0018,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.075,1.32769787,0.0028,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.076,1.30599872,0.002,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.077,1.31829448,0.0034,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.078,1.29657406,0.0028,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.079,1.2769151,0.0016,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.08,1.32771934,0.0032,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.081,1.28584292,0.0036,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.082,1.33856728,0.003,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.083,1.30842047,0.0042,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.084,1.38109402,0.0032,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.085,1.34659008,0.0042,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.086,1.36167691,0.0058,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.087,1.27609002,0.0038,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.088,1.37006701,0.0064,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.089,1.32659419,0.0052,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.09,1.34959289,0.006,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.091,1.41555775,0.0062,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.092,1.37621775,0.0066,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.093,1.41714106,0.0066,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.094,1.4745626,0.0066,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.095,1.45282327,0.0064,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.096,1.44521967,0.0082,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.097,1.42772138,0.0098,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.098,1.36750278,0.009,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.099,1.43268279,0.0126,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.1,1.40750967,0.012,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.101,1.39897565,0.0108,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.102,1.34694704,0.014,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.103,1.40516435,0.014,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.104,1.47339644,0.016,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.105,1.40063363,0.0188,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.106,1.43301056,0.0142,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.107,1.38324058,0.0188,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.108,1.42336296,0.016,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.109,1.4159646,0.0184,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.11,1.47237623,0.0184,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.111,1.44813256,0.02,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.112,1.43884279,0.0246,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.113,1.4687446,0.022,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.114,1.41515418,0.0246,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.115,1.46150585,0.0222,3.5,500000,5000,1555742,2,True,_window2,part2_N500000_g3.5_window2.dat
0.11875,1.51146983,0.025,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.125,1.50769764,0.032,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.13125,1.50145603,0.042,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.1375,1.45975633,0.0506,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.14375,1.45547305,0.063,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.15,1.40001016,0.0676,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.15625,1.35945181,0.0856,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.1625,1.34083958,0.0956,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.16875,1.29310589,0.11,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.175,1.32237092,0.122,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.18125,1.27583893,0.1346,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.1875,1.27718114,0.1372,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.19375,1.22232077,0.1576,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.2,1.16417841,0.1594,3.5,500000,5000,1550312,0,False,coarse,part2_N500000_g3.5.dat
0.008,1.01671929,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.009,1.02442853,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.01,1.0107058,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.011,1.03740047,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.012,1.00077103,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.013,1.01666251,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.014,1.02917007,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.015,1.04357267,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.016,1.01814583,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.017,1.0328118,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.018,0.999326161,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.019,1.04667283,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.02,1.08556833,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.021,1.04502342,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.022,1.04001024,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.023,1.04498794,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.024,1.06291058,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.025,1.04564639,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.026,1.05661964,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.027,1.06513702,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.028,1.06456474,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.029,1.06280944,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.03,1.08650275,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.031,1.07454147,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.032,1.10007707,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.033,1.09754774,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.034,1.10235748,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.035,1.09746821,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.036,1.09887477,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.037,1.08222936,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.038,1.09626886,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.039,1.11931113,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.04,1.1348506,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.041,1.09750111,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.042,1.12827943,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.043,1.13380761,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.044,1.10636821,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.045,1.11864604,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.046,1.10829592,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.047,1.13944955,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.048,1.14801725,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.049,1.16280958,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.05,1.12839651,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.051,1.15046805,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.052,1.13287003,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.053,1.16564773,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.054,1.17272439,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.055,1.17663018,0.0,3.5,1000000,5000,3104624,3,True,_lc_window,part2_N1000000_g3.5_lc_window.dat
0.056,1.18951069,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.057,1.1985363,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.058,1.17876182,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.059,1.1813582,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.06,1.23990673,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.061,1.23824671,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.062,1.26509917,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.063,1.22197396,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.064,1.22559826,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.065,1.24577733,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.066,1.29181248,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.067,1.27080084,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.068,1.29261264,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.069,1.25082024,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.07,1.43273813,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.071,1.33613533,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.072,1.29912535,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.073,1.46901579,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.074,1.41335667,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.075,1.4773362,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.076,1.31631374,0.0,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.077,1.68783041,0.0002,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.078,1.32803651,0.0006,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.079,1.37062977,0.0002,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.08,1.29997932,0.0014,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.081,1.38309196,0.0008,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.082,1.35038158,0.0008,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.083,1.37814612,0.001,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.084,1.35974467,0.0004,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.085,1.34544915,0.001,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.086,1.42354821,0.0024,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.087,1.36712386,0.003,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.088,1.42778176,0.0026,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.089,1.42506796,0.002,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.09,1.45650697,0.0024,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.091,1.43577742,0.0032,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.092,1.41713484,0.0038,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.093,1.41471589,0.0052,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.094,1.46388694,0.0032,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.095,1.42443593,0.0066,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.096,1.52018759,0.0052,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.097,1.49278248,0.0062,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.098,1.42473992,0.0068,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.099,1.48907544,0.0078,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.1,1.40204163,0.0084,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.101,1.45031208,0.0084,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.102,1.40884481,0.008,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.103,1.45684904,0.0086,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.104,1.43707096,0.0108,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.105,1.4607718,0.0122,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.106,1.55168545,0.012,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.107,1.45408153,0.0124,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.108,1.52407983,0.0128,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.109,1.51546641,0.0162,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.11,1.51278334,0.018,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.111,1.45680653,0.018,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.112,1.4618467,0.0166,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.113,1.51123671,0.018,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.114,1.50716562,0.0198,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.115,1.46909848,0.023,3.5,1000000,5000,3107597,2,True,_window2,part2_N1000000_g3.5_window2.dat
0.11875,1.43642476,0.0272,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.125,1.43683135,0.036,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.13125,1.45574982,0.048,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.1375,1.42595914,0.0524,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.14375,1.37893745,0.07,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.15,1.40455885,0.0798,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.15625,1.37883993,0.084,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.1625,1.32435404,0.1038,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.16875,1.28175253,0.1062,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.175,1.29240135,0.1222,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.18125,1.25275467,0.136,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.1875,1.26624876,0.1516,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.19375,1.19612329,0.1568,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
0.2,1.17136942,0.1724,3.5,1000000,5000,3114361,0,False,coarse,part2_N1000000_g3.5.dat
