gamma,N,lambda_c,lambda_eval,P_end_lc,eval_mode
3.5,10000,0.02822659815601456,0.02822659815601456,,interp
3.5,30000,0.02822659815601456,0.02822659815601456,,interp
3.5,50000,0.02822659815601456,0.02822659815601456,,interp
3.5,100000,0.02822659815601456,0.02822659815601456,,interp
3.5,300000,0.02822659815601456,0.02822659815601456,,interp
3.5,500000,0.02822659815601456,0.02822659815601456,,interp
3.5,1000000,0.02822659815601456,0.02822659815601456,,interp
